"date","game_pk","day_night","team","win_indicator","league","division"
"2023-03-30",718780,"day","Atlanta Braves",1,"National League","NL East"
"2023-03-30",718781,"day","San Francisco Giants",0,"National League","NL West"
"2023-03-30",718782,"day","Baltimore Orioles",1,"American League","AL East"
"2023-03-30",718777,"day","Milwaukee Brewers",0,"National League","NL Central"
"2023-03-30",718776,"day","Detroit Tigers",0,"American League","AL Central"
"2023-03-30",718779,"day","Philadelphia Phillies",0,"National League","NL East"
"2023-03-30",718773,"day","Pittsburgh Pirates",1,"National League","NL Central"
"2023-03-30",718772,"day","Toronto Blue Jays",1,"American League","AL East"
"2023-03-30",718775,"day","Minnesota Twins",1,"American League","AL Central"
"2023-03-30",718774,"day","New York Mets",1,"National League","NL East"
"2023-03-30",718768,"night","Chicago White Sox",1,"American League","AL Central"
"2023-03-30",718778,"night","Colorado Rockies",1,"National League","NL West"
"2023-03-30",718769,"night","Los Angeles Angels",0,"American League","AL West"
"2023-03-30",718770,"night","Arizona Diamondbacks",0,"National League","NL West"
"2023-03-30",718767,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-03-31",718771,"night","New York Mets",0,"National League","NL East"
"2023-03-31",718764,"night","Chicago White Sox",0,"American League","AL Central"
"2023-03-31",718766,"night","Colorado Rockies",1,"National League","NL West"
"2023-03-31",718765,"night","Arizona Diamondbacks",1,"National League","NL West"
"2023-03-31",718763,"night","Cleveland Guardians",1,"American League","AL Central"
"2023-04-01",718760,"day","Chicago White Sox",0,"American League","AL Central"
"2023-04-01",718759,"day","Toronto Blue Jays",0,"American League","AL East"
"2023-04-01",718758,"day","Milwaukee Brewers",1,"National League","NL Central"
"2023-04-01",718752,"day","Philadelphia Phillies",0,"National League","NL East"
"2023-04-01",718753,"day","Atlanta Braves",1,"National League","NL East"
"2023-04-01",718762,"day","San Francisco Giants",1,"National League","NL West"
"2023-04-01",718757,"day","Los Angeles Angels",1,"American League","AL West"
"2023-04-01",718761,"day","Baltimore Orioles",0,"American League","AL East"
"2023-04-01",718756,"day","Pittsburgh Pirates",0,"National League","NL Central"
"2023-04-01",718754,"day","Detroit Tigers",0,"American League","AL Central"
"2023-04-01",718751,"day","Minnesota Twins",1,"American League","AL Central"
"2023-04-01",718755,"day","New York Mets",1,"National League","NL East"
"2023-04-01",718750,"night","Colorado Rockies",0,"National League","NL West"
"2023-04-01",718749,"night","Arizona Diamondbacks",0,"National League","NL West"
"2023-04-01",718746,"night","Cleveland Guardians",1,"American League","AL Central"
"2023-04-02",718742,"day","Detroit Tigers",0,"American League","AL Central"
"2023-04-02",718748,"day","Baltimore Orioles",0,"American League","AL East"
"2023-04-02",718743,"day","Atlanta Braves",0,"National League","NL East"
"2023-04-02",718747,"day","San Francisco Giants",0,"National League","NL West"
"2023-04-02",718744,"day","Pittsburgh Pirates",0,"National League","NL Central"
"2023-04-02",718741,"day","New York Mets",1,"National League","NL East"
"2023-04-02",718745,"day","Minnesota Twins",1,"American League","AL Central"
"2023-04-02",718740,"day","Chicago White Sox",1,"American League","AL Central"
"2023-04-02",718737,"day","Toronto Blue Jays",0,"American League","AL East"
"2023-04-02",718738,"day","Milwaukee Brewers",1,"National League","NL Central"
"2023-04-02",718734,"day","Los Angeles Angels",1,"American League","AL West"
"2023-04-02",718736,"day","Arizona Diamondbacks",1,"National League","NL West"
"2023-04-02",718733,"day","Colorado Rockies",0,"National League","NL West"
"2023-04-02",718735,"day","Cleveland Guardians",1,"American League","AL Central"
"2023-04-02",718739,"night","Philadelphia Phillies",0,"National League","NL East"
"2023-04-03",718731,"day","New York Mets",0,"National League","NL East"
"2023-04-03",718730,"day","San Francisco Giants",1,"National League","NL West"
"2023-04-03",718728,"night","Chicago Cubs",0,"National League","NL Central"
"2023-04-03",718729,"night","Minnesota Twins",1,"American League","AL Central"
"2023-04-03",718732,"night","Tampa Bay Rays",1,"American League","AL East"
"2023-04-03",718725,"night","Philadelphia Phillies",0,"National League","NL East"
"2023-04-03",718724,"night","Pittsburgh Pirates",1,"National League","NL Central"
"2023-04-03",718719,"night","Toronto Blue Jays",0,"American League","AL East"
"2023-04-03",718727,"night","Atlanta Braves",1,"National League","NL East"
"2023-04-03",718726,"night","Baltimore Orioles",1,"American League","AL East"
"2023-04-03",718723,"night","Detroit Tigers",1,"American League","AL Central"
"2023-04-03",718721,"night","Cleveland Guardians",1,"American League","AL Central"
"2023-04-03",718722,"night","Arizona Diamondbacks",0,"National League","NL West"
"2023-04-03",718720,"night","Los Angeles Angels",1,"American League","AL West"
"2023-04-03",718718,"night","Colorado Rockies",0,"National League","NL West"
"2023-04-04",718717,"day","Arizona Diamondbacks",1,"National League","NL West"
"2023-04-04",718716,"night","Chicago Cubs",1,"National League","NL Central"
"2023-04-04",718714,"night","Minnesota Twins",0,"American League","AL Central"
"2023-04-04",718715,"night","Tampa Bay Rays",1,"American League","AL East"
"2023-04-04",718710,"night","Philadelphia Phillies",1,"National League","NL East"
"2023-04-04",718713,"night","Pittsburgh Pirates",1,"National League","NL Central"
"2023-04-04",718708,"night","Toronto Blue Jays",1,"American League","AL East"
"2023-04-04",718712,"night","New York Mets",0,"National League","NL East"
"2023-04-04",718711,"night","Atlanta Braves",1,"National League","NL East"
"2023-04-04",718709,"night","Baltimore Orioles",1,"American League","AL East"
"2023-04-04",718705,"night","Detroit Tigers",1,"American League","AL Central"
"2023-04-04",718707,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-04-04",718706,"night","Los Angeles Angels",0,"American League","AL West"
"2023-04-04",718703,"night","Colorado Rockies",0,"National League","NL West"
"2023-04-05",718704,"day","Tampa Bay Rays",1,"American League","AL East"
"2023-04-05",718699,"day","Philadelphia Phillies",0,"National League","NL East"
"2023-04-05",718701,"day","Minnesota Twins",0,"American League","AL Central"
"2023-04-05",718697,"day","Atlanta Braves",1,"National League","NL East"
"2023-04-05",718702,"day","Pittsburgh Pirates",1,"National League","NL Central"
"2023-04-05",718698,"day","New York Mets",0,"National League","NL East"
"2023-04-05",718694,"day","Baltimore Orioles",0,"American League","AL East"
"2023-04-05",718696,"day","Detroit Tigers",0,"American League","AL Central"
"2023-04-05",718695,"day","San Francisco Giants",0,"National League","NL West"
"2023-04-05",718689,"day","Cleveland Guardians",1,"American League","AL Central"
"2023-04-05",718691,"day","Los Angeles Angels",1,"American League","AL West"
"2023-04-05",718692,"night","Toronto Blue Jays",1,"American League","AL East"
"2023-04-06",718690,"day","Boston Red Sox",1,"American League","AL East"
"2023-04-06",718686,"day","Toronto Blue Jays",1,"American League","AL East"
"2023-04-06",718687,"day","San Francisco Giants",1,"National League","NL West"
"2023-04-06",718682,"day","Washington Nationals",0,"National League","NL East"
"2023-04-06",718681,"night","San Diego Padres",0,"National League","NL West"
"2023-04-06",718683,"night","Los Angeles Dodgers",1,"National League","NL West"
"2023-04-07",718693,"day","Miami Marlins",0,"National League","NL East"
"2023-04-07",718675,"day","Texas Rangers",0,"American League","AL West"
"2023-04-07",718685,"day","Cincinnati Reds",0,"National League","NL Central"
"2023-04-07",718688,"day","New York Yankees",0,"American League","AL East"
"2023-04-07",718677,"day","Seattle Mariners",1,"American League","AL West"
"2023-04-07",718684,"day","Houston Astros",0,"American League","AL West"
"2023-04-07",718679,"day","Chicago White Sox",0,"American League","AL Central"
"2023-04-07",718680,"day","Kansas City Royals",1,"American League","AL Central"
"2023-04-07",718678,"night","Oakland Athletics",0,"American League","AL West"
"2023-04-07",718676,"night","San Diego Padres",1,"National League","NL West"
"2023-04-07",718674,"night","St. Louis Cardinals",0,"National League","NL Central"
"2023-04-07",718673,"night","Washington Nationals",1,"National League","NL East"
"2023-04-07",718670,"night","Toronto Blue Jays",1,"American League","AL East"
"2023-04-07",718671,"night","Los Angeles Dodgers",0,"National League","NL West"
"2023-04-08",718666,"day","Houston Astros",0,"American League","AL West"
"2023-04-08",718672,"day","Kansas City Royals",1,"American League","AL Central"
"2023-04-08",718669,"day","Texas Rangers",0,"American League","AL West"
"2023-04-08",718668,"day","Cincinnati Reds",0,"National League","NL Central"
"2023-04-08",718667,"day","Boston Red Sox",1,"American League","AL East"
"2023-04-08",718665,"day","Oakland Athletics",0,"American League","AL West"
"2023-04-08",718661,"day","Miami Marlins",0,"National League","NL East"
"2023-04-08",718663,"night","Seattle Mariners",1,"American League","AL West"
"2023-04-08",718662,"night","Chicago White Sox",1,"American League","AL Central"
"2023-04-08",718664,"night","New York Yankees",1,"American League","AL East"
"2023-04-08",718660,"night","St. Louis Cardinals",1,"National League","NL Central"
"2023-04-08",718659,"night","San Diego Padres",1,"National League","NL West"
"2023-04-08",718656,"night","Los Angeles Dodgers",0,"National League","NL West"
"2023-04-08",718658,"night","Washington Nationals",1,"National League","NL East"
"2023-04-08",718657,"night","Toronto Blue Jays",0,"American League","AL East"
"2023-04-09",718652,"day","Cincinnati Reds",1,"National League","NL Central"
"2023-04-09",718654,"day","Boston Red Sox",1,"American League","AL East"
"2023-04-09",718655,"day","Oakland Athletics",0,"American League","AL West"
"2023-04-09",718653,"day","Chicago White Sox",0,"American League","AL Central"
"2023-04-09",718651,"day","New York Yankees",1,"American League","AL East"
"2023-04-09",718646,"day","Seattle Mariners",0,"American League","AL West"
"2023-04-09",718647,"day","Miami Marlins",1,"National League","NL East"
"2023-04-09",718649,"day","Houston Astros",1,"American League","AL West"
"2023-04-09",718650,"day","St. Louis Cardinals",0,"National League","NL Central"
"2023-04-09",718642,"day","Texas Rangers",1,"American League","AL West"
"2023-04-09",718645,"day","Washington Nationals",0,"National League","NL East"
"2023-04-09",718643,"day","Kansas City Royals",0,"American League","AL Central"
"2023-04-09",718644,"day","Toronto Blue Jays",1,"American League","AL East"
"2023-04-09",718639,"day","Los Angeles Dodgers",0,"National League","NL West"
"2023-04-09",718648,"night","San Diego Padres",1,"National League","NL West"
"2023-04-10",718640,"day","Chicago White Sox",1,"American League","AL Central"
"2023-04-10",718637,"night","New York Yankees",0,"American League","AL East"
"2023-04-10",718635,"night","Oakland Athletics",0,"American League","AL West"
"2023-04-10",718632,"night","Houston Astros",1,"American League","AL West"
"2023-04-10",718638,"night","Boston Red Sox",0,"American League","AL East"
"2023-04-10",718633,"night","Miami Marlins",0,"National League","NL East"
"2023-04-10",718634,"night","San Diego Padres",0,"National League","NL West"
"2023-04-10",718636,"night","Cincinnati Reds",0,"National League","NL Central"
"2023-04-10",718628,"night","Seattle Mariners",0,"American League","AL West"
"2023-04-10",718630,"night","Kansas City Royals",0,"American League","AL Central"
"2023-04-10",718629,"night","St. Louis Cardinals",0,"National League","NL Central"
"2023-04-10",718631,"night","Washington Nationals",1,"National League","NL East"
"2023-04-10",718627,"night","Milwaukee Brewers",0,"National League","NL Central"
"2023-04-10",718641,"night","Los Angeles Dodgers",1,"National League","NL West"
"2023-04-11",718626,"night","New York Yankees",1,"American League","AL East"
"2023-04-11",718618,"night","Oakland Athletics",0,"American League","AL West"
"2023-04-11",718623,"night","Houston Astros",0,"American League","AL West"
"2023-04-11",718625,"night","Boston Red Sox",0,"American League","AL East"
"2023-04-11",718619,"night","Miami Marlins",1,"National League","NL East"
"2023-04-11",718622,"night","Detroit Tigers",0,"American League","AL Central"
"2023-04-11",718621,"night","San Diego Padres",1,"National League","NL West"
"2023-04-11",718620,"night","Cincinnati Reds",0,"National League","NL Central"
"2023-04-11",718617,"night","Seattle Mariners",0,"American League","AL West"
"2023-04-11",718616,"night","Chicago White Sox",0,"American League","AL Central"
"2023-04-11",718615,"night","Kansas City Royals",0,"American League","AL Central"
"2023-04-11",718613,"night","St. Louis Cardinals",1,"National League","NL Central"
"2023-04-11",718614,"night","Washington Nationals",0,"National League","NL East"
"2023-04-11",718611,"night","Milwaukee Brewers",1,"National League","NL Central"
"2023-04-11",718624,"night","Los Angeles Dodgers",0,"National League","NL West"
"2023-04-12",718608,"day","Houston Astros",1,"American League","AL West"
"2023-04-12",718610,"day","San Diego Padres",0,"National League","NL West"
"2023-04-12",718605,"day","Chicago White Sox",0,"American League","AL Central"
"2023-04-12",718604,"day","New York Yankees",1,"American League","AL East"
"2023-04-12",718606,"day","Seattle Mariners",1,"American League","AL West"
"2023-04-12",718607,"day","St. Louis Cardinals",1,"National League","NL Central"
"2023-04-12",718598,"day","Milwaukee Brewers",0,"National League","NL Central"
"2023-04-12",718609,"day","Miami Marlins",1,"National League","NL East"
"2023-04-12",718602,"day","Washington Nationals",0,"National League","NL East"
"2023-04-12",718599,"night","Oakland Athletics",1,"American League","AL West"
"2023-04-12",718600,"night","Boston Red Sox",0,"American League","AL East"
"2023-04-12",718603,"night","Detroit Tigers",0,"American League","AL Central"
"2023-04-12",718601,"night","Cincinnati Reds",0,"National League","NL Central"
"2023-04-12",718595,"night","Kansas City Royals",1,"American League","AL Central"
"2023-04-12",718612,"night","Los Angeles Dodgers",1,"National League","NL West"
"2023-04-13",718596,"day","Oakland Athletics",0,"American League","AL West"
"2023-04-13",718594,"day","Boston Red Sox",0,"American League","AL East"
"2023-04-13",718597,"night","Philadelphia Phillies",0,"National League","NL East"
"2023-04-13",718590,"night","Minnesota Twins",1,"American League","AL Central"
"2023-04-13",718593,"night","Detroit Tigers",1,"American League","AL Central"
"2023-04-13",718591,"night","Pittsburgh Pirates",1,"National League","NL Central"
"2023-04-13",718589,"night","Milwaukee Brewers",1,"National League","NL Central"
"2023-04-14",718585,"night","San Francisco Giants",0,"National League","NL West"
"2023-04-14",718586,"night","Philadelphia Phillies",1,"National League","NL East"
"2023-04-14",718584,"night","Arizona Diamondbacks",0,"National League","NL West"
"2023-04-14",718592,"night","Cleveland Guardians",1,"American League","AL Central"
"2023-04-14",718588,"night","Minnesota Twins",1,"American League","AL Central"
"2023-04-14",718587,"night","Tampa Bay Rays",0,"American League","AL East"
"2023-04-14",718580,"night","Los Angeles Angels",0,"American League","AL West"
"2023-04-14",718583,"night","Baltimore Orioles",1,"American League","AL East"
"2023-04-14",718581,"night","Texas Rangers",1,"American League","AL West"
"2023-04-14",718579,"night","Atlanta Braves",1,"National League","NL East"
"2023-04-14",718582,"night","Pittsburgh Pirates",0,"National League","NL Central"
"2023-04-14",718578,"night","New York Mets",1,"National League","NL East"
"2023-04-14",718574,"night","Milwaukee Brewers",1,"National League","NL Central"
"2023-04-14",718575,"night","Chicago Cubs",1,"National League","NL Central"
"2023-04-14",718577,"night","Colorado Rockies",0,"National League","NL West"
"2023-04-15",718572,"day","Minnesota Twins",0,"American League","AL Central"
"2023-04-15",718571,"day","San Francisco Giants",0,"National League","NL West"
"2023-04-15",718570,"day","Baltimore Orioles",0,"American League","AL East"
"2023-04-15",718568,"day","Pittsburgh Pirates",1,"National League","NL Central"
"2023-04-15",718569,"day","Tampa Bay Rays",0,"American League","AL East"
"2023-04-15",718573,"day","Cleveland Guardians",1,"American League","AL Central"
"2023-04-15",718560,"day","Milwaukee Brewers",0,"National League","NL Central"
"2023-04-15",718565,"day","New York Mets",1,"National League","NL East"
"2023-04-15",718576,"day","Los Angeles Angels",0,"American League","AL West"
"2023-04-15",718566,"day","Philadelphia Phillies",0,"National League","NL East"
"2023-04-15",718563,"day","Atlanta Braves",1,"National League","NL East"
"2023-04-15",718567,"day","Arizona Diamondbacks",0,"National League","NL West"
"2023-04-15",718562,"night","Texas Rangers",0,"American League","AL West"
"2023-04-15",718564,"night","Chicago Cubs",0,"National League","NL Central"
"2023-04-15",718561,"night","Colorado Rockies",0,"National League","NL West"
"2023-04-16",718559,"day","Los Angeles Angels",0,"American League","AL West"
"2023-04-16",718555,"day","Cleveland Guardians",0,"American League","AL Central"
"2023-04-16",718557,"day","Minnesota Twins",0,"American League","AL Central"
"2023-04-16",718556,"day","Tampa Bay Rays",1,"American League","AL East"
"2023-04-16",718554,"day","Philadelphia Phillies",1,"National League","NL East"
"2023-04-16",718550,"day","Arizona Diamondbacks",1,"National League","NL West"
"2023-04-16",718551,"day","Atlanta Braves",1,"National League","NL East"
"2023-04-16",718553,"day","Baltimore Orioles",1,"American League","AL East"
"2023-04-16",718548,"day","Pittsburgh Pirates",0,"National League","NL Central"
"2023-04-16",718546,"day","New York Mets",1,"National League","NL East"
"2023-04-16",718547,"day","Chicago Cubs",1,"National League","NL Central"
"2023-04-16",718545,"day","Colorado Rockies",0,"National League","NL West"
"2023-04-16",718549,"day","Milwaukee Brewers",1,"National League","NL Central"
"2023-04-16",718552,"night","Texas Rangers",1,"American League","AL West"
"2023-04-17",718540,"day","Los Angeles Angels",1,"American League","AL West"
"2023-04-17",718542,"night","Tampa Bay Rays",0,"American League","AL East"
"2023-04-17",718544,"night","San Francisco Giants",0,"National League","NL West"
"2023-04-17",718539,"night","Texas Rangers",1,"American League","AL West"
"2023-04-17",718538,"night","Arizona Diamondbacks",1,"National League","NL West"
"2023-04-17",718537,"night","Toronto Blue Jays",0,"American League","AL East"
"2023-04-17",718535,"night","Pittsburgh Pirates",1,"National League","NL Central"
"2023-04-17",718536,"night","Chicago Cubs",1,"National League","NL Central"
"2023-04-17",718533,"night","Atlanta Braves",1,"National League","NL East"
"2023-04-17",718534,"night","Milwaukee Brewers",1,"National League","NL Central"
"2023-04-17",718532,"night","New York Mets",1,"National League","NL East"
"2023-04-18",718530,"day","Cleveland Guardians",0,"American League","AL Central"
"2023-04-18",718541,"day","Cleveland Guardians",0,"American League","AL Central"
"2023-04-18",718525,"day","Philadelphia Phillies",1,"National League","NL East"
"2023-04-18",718543,"day","Philadelphia Phillies",0,"National League","NL East"
"2023-04-18",718526,"night","Tampa Bay Rays",1,"American League","AL East"
"2023-04-18",718528,"night","San Francisco Giants",0,"National League","NL West"
"2023-04-18",718531,"night","Baltimore Orioles",1,"American League","AL East"
"2023-04-18",718529,"night","Los Angeles Angels",1,"American League","AL West"
"2023-04-18",718524,"night","Minnesota Twins",0,"American League","AL Central"
"2023-04-18",718522,"night","Texas Rangers",1,"American League","AL West"
"2023-04-18",718527,"night","Arizona Diamondbacks",1,"National League","NL West"
"2023-04-18",718520,"night","Toronto Blue Jays",1,"American League","AL East"
"2023-04-18",718521,"night","Pittsburgh Pirates",1,"National League","NL Central"
"2023-04-18",718523,"night","Chicago Cubs",1,"National League","NL Central"
"2023-04-18",718519,"night","Atlanta Braves",1,"National League","NL East"
"2023-04-18",718517,"night","Milwaukee Brewers",1,"National League","NL Central"
"2023-04-18",718516,"night","New York Mets",0,"National League","NL East"
"2023-04-19",718515,"day","Tampa Bay Rays",1,"American League","AL East"
"2023-04-19",718513,"day","Cleveland Guardians",1,"American League","AL Central"
"2023-04-19",718511,"day","San Francisco Giants",1,"National League","NL West"
"2023-04-19",718512,"day","Arizona Diamondbacks",0,"National League","NL West"
"2023-04-19",718514,"day","Texas Rangers",1,"American League","AL West"
"2023-04-19",718510,"day","Philadelphia Phillies",1,"National League","NL East"
"2023-04-19",718508,"day","New York Mets",1,"National League","NL East"
"2023-04-19",718509,"day","Pittsburgh Pirates",1,"National League","NL Central"
"2023-04-19",718506,"day","Chicago Cubs",1,"National League","NL Central"
"2023-04-19",718507,"day","Atlanta Braves",0,"National League","NL East"
"2023-04-19",718502,"day","Milwaukee Brewers",1,"National League","NL Central"
"2023-04-19",718518,"night","Baltimore Orioles",1,"American League","AL East"
"2023-04-19",718504,"night","Los Angeles Angels",0,"American League","AL West"
"2023-04-19",718505,"night","Minnesota Twins",1,"American League","AL Central"
"2023-04-19",718501,"night","Toronto Blue Jays",0,"American League","AL East"
"2023-04-20",718497,"day","Minnesota Twins",0,"American League","AL Central"
"2023-04-20",718496,"day","Los Angeles Angels",0,"American League","AL West"
"2023-04-20",718500,"night","Cincinnati Reds",0,"National League","NL Central"
"2023-04-20",718498,"night","Colorado Rockies",1,"National League","NL West"
"2023-04-20",718499,"night","Los Angeles Dodgers",1,"National League","NL West"
"2023-04-20",718494,"night","San Diego Padres",1,"National League","NL West"
"2023-04-20",718503,"night","New York Mets",1,"National League","NL East"
"2023-04-21",718491,"day","Los Angeles Dodgers",0,"National League","NL West"
